schema_cols,status,rows,source_files_used,train_groups,val_groups,test_groups,threshold,val_target_metric,accuracy,precision,recall,specificity,f1,roc_auc,log_loss
84,ok,456328,264,168,43,53,0.44,0.6414696581840085,0.5616508456362101,0.43961687457795784,0.9006480267948158,0.3779833524004892,0.5908385278593776,0.7527187191719857,0.4968039742788355
112,ok,32256,12,7,2,3,0.05,1.0,0.9998611111111111,1.0,0.9998485536877177,1.0,0.9999242711094283,0.9999852866229273,0.0014067443261233663
119,ok,46892,126,80,20,26,0.87,1.0,0.9998948917384907,1.0,0.9998599635905335,1.0,0.9999299768923745,1.0,9.199844602315958e-05
