fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0023910554320738194,1.0
0.0,0.0027951774769313666,0.9999999999999998
0.0,0.002828854314002829,0.9999999999999996
0.0,0.0030309153364316025,0.9999999999999991
0.0,0.0030645921735030644,0.9999999999999987
0.0,0.0032329763588603757,0.9999999999999982
0.0,0.003637098403717923,0.9999999999999793
0.0,0.003704452077860847,0.9999999999999778
0.0,0.00404122044857547,0.9999999999997733
0.0,0.004108574122718394,0.9999999999997573
0.0,0.006230214858220516,0.9999999999898246
0.0,0.006297568532363441,0.9999999999896574
0.0,0.0067690442513639116,0.9999999999757099
0.0,0.006836397925506836,0.9999999999722711
0.0,0.007375227318650233,0.9999999999474052
0.0,0.007442580992793157,0.9999999999474034
0.0,0.00882333131272311,0.9999999997843996
0.0,0.008890684986866033,0.9999999997828457
0.0,0.009530544891223815,0.9999999997286526
0.0,0.00959789856536674,0.9999999997285067
0.0,0.011012325722368155,0.9999999995939988
0.0,0.01107967939651108,0.9999999995938011
0.0,0.011786892975011787,0.9999999995345688
0.0,0.011854246649154711,0.9999999995334872
0.0,0.011955277160369098,0.9999999995254458
0.0,0.012022630834512023,0.9999999995248943
0.0,0.012191015019869333,0.9999999995122317
0.0,0.012258368694012258,0.9999999995114286
0.0,0.012696167575941268,0.9999999994710795
0.0,0.012763521250084193,0.9999999994694548
0.0,0.012965582272512965,0.9999999994576072
0.0,0.01303293594665589,0.9999999994449154
0.0,0.01333602748029905,0.9999999994024673
0.0,0.013403381154441976,0.9999999994007791
0.0,0.015962820771873106,0.9999999987516546
0.0,0.01603017444601603,0.9999999987101298
0.0,0.016737388024516738,0.9999999970781339
0.0,0.016804741698659663,0.99999999704047
0.0,0.016838418535731123,0.9999999968601891
0.0,0.016905772209874048,0.999999996799581
0.0,0.018017107833232304,0.9999999935326236
0.0,0.018084461507375228,0.9999999935324588
0.0,0.01858961406344716,0.99999999059883
0.0,0.018690644574661547,0.9999999895673796
0.0,0.01946521182730518,0.999999984718416
0.0,0.019532565501448104,0.9999999843791896
0.0,0.020004041220448576,0.9999999812662591
0.0,0.020138748568734426,0.9999999803113845
0.0,0.021216407355021217,0.9999999729357097
0.0,0.02128376102916414,0.9999999723749421
0.0,0.022327742978379472,0.9999999561060521
0.0,0.022395096652522394,0.9999999547237985
0.0,0.023944231157809658,0.9999999191196977
0.0,0.024011584831952582,0.9999999181287111
0.0,0.02441570687681013,0.9999999063848243
0.0,0.024483060550953055,0.9999999060429585
0.0,0.025830134033811545,0.9999998539805992
0.0,0.02593116454502593,0.9999998539611703
0.0,0.026503670775240788,0.9999998393819141
0.0,0.026571024449383713,0.999999838795463
0.0,0.027480299050313194,0.9999997990292735
0.0,0.02754765272445612,0.9999997988196435
0.0,0.028557957836599986,0.9999997159782587
0.0,0.02862531151074291,0.9999997151418104
0.0,0.029096787229743383,0.9999996935799247
0.0,0.029164140903886308,0.9999996929308047
0.0,0.029298848252172157,0.9999996859484672
0.0,0.02936620192631508,0.9999996854198273
0.0,0.02953458611167239,0.999999677172925
0.0,0.029601939785815316,0.9999996764066478
0.0,0.029736647134101166,0.9999996705287149
0.0,0.02980400080824409,0.9999996664697539
0.0,0.02993870815652994,0.9999996523767123
0.0,0.030006061830672864,0.9999996492474665
0.0,0.03280123930760423,0.9999995065198749
0.0,0.03286859298174715,0.9999995013674248
0.0,0.03296962349296154,0.9999994982442921
0.0,0.033036977167104464,0.9999994891972739
0.0,0.03307065400417593,0.9999994890774674
0.0,0.03313800767831885,0.999999480426105
0.0,0.034013605442176874,0.9999994404267853
0.0,0.034080959116319795,0.999999440166966
0.0,0.03424934330167711,0.999999429341668
0.0,0.03431669697582003,0.9999994266003441
0.0,0.03509126422846366,0.999999370999971
0.0,0.03519229473967805,0.9999993687841856
0.0,0.03563009362160706,0.9999993544952922
