fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001932367149758454,0.9999989656289335
0.0,0.017391304347826087,0.9999987188838554
0.0,0.022222222222222223,0.9999981903207882
0.0,0.024154589371980676,0.9999980471350945
0.0,0.02608695652173913,0.9999975803084684
0.0,0.028019323671497585,0.9999973527880393
0.0,0.030917874396135265,0.9999969597542079
0.0,0.034782608695652174,0.99999644951071
0.0,0.03768115942028986,0.9999957981328452
0.0,0.03961352657004831,0.9999957399387511
0.0,0.04251207729468599,0.9999949916098684
0.0,0.0463768115942029,0.9999946133815619
0.0,0.04927536231884058,0.9999943582948343
0.0,0.05893719806763285,0.9999941317187366
0.0,0.06086956521739131,0.9999940951599425
0.0,0.06666666666666667,0.9999939510200643
0.0,0.07342995169082125,0.9999936362177507
0.0,0.07922705314009662,0.9999935728901442
0.0,0.08115942028985507,0.9999935587735505
0.0,0.08309178743961353,0.9999935350681076
0.0,0.08405797101449275,0.9999935314803644
0.0,0.08599033816425121,0.9999935288858142
0.0,0.09082125603864734,0.9999934373113696
0.0,0.0927536231884058,0.9999934189351385
0.0,0.09371980676328502,0.999993413393571
0.0,0.09758454106280193,0.9999933680926895
0.0,0.09855072463768116,0.9999933588998453
0.0,0.10048309178743961,0.9999933585208615
0.0,0.10338164251207729,0.99999328940236
0.0,0.1072463768115942,0.999993256224616
0.0,0.10821256038647344,0.9999932514458324
0.0,0.11400966183574879,0.9999932199746684
0.0,0.11497584541062802,0.9999932179605158
0.0,0.12077294685990338,0.9999931588694629
0.0,0.12657004830917876,0.9999930943493545
0.0,0.1285024154589372,0.9999930851453853
0.0,0.13140096618357489,0.999993066281143
0.0,0.13526570048309178,0.9999930457698051
0.0,0.14009661835748793,0.9999929814136311
0.0,0.14202898550724638,0.9999929701417828
0.0,0.14782608695652175,0.9999928219557445
0.0,0.1497584541062802,0.999992809010099
0.0,0.1565217391304348,0.9999927361002096
0.0,0.15845410628019324,0.9999927358405823
0.0,0.17004830917874397,0.9999925556225443
0.0,0.17198067632850242,0.9999925535542341
0.0,0.17294685990338166,0.9999925498236123
0.0,0.1748792270531401,0.9999925399160379
0.0,0.178743961352657,0.9999924822240202
0.0,0.18067632850241547,0.9999924707720543
0.0,0.1961352657004831,0.99999202140631
0.0,0.19806763285024154,0.9999920124915788
0.0,0.20483091787439614,0.9999918751430705
0.0,0.20676328502415459,0.9999918575923298
0.0,0.2144927536231884,0.9999915030234473
0.0,0.21642512077294687,0.9999913842606959
0.0,0.2318840579710145,0.9999898378181726
0.0,0.23381642512077294,0.999989835550628
0.0,0.2396135265700483,0.9999892845609547
0.0,0.24154589371980675,0.9999889319112857
0.0,0.25507246376811593,0.9999877983811578
0.0,0.2570048309178744,0.9999876621188862
0.0,0.2589371980676328,0.9999874738314151
0.0,0.2608695652173913,0.9999874615848785
0.0,0.26280193236714977,0.9999872046526368
0.0,0.2647342995169082,0.9999871568577766
0.0,0.30628019323671496,0.9999846042998599
0.0,0.30821256038647343,0.9999845790628149
0.0,0.32367149758454106,0.9999840821459886
0.0,0.32560386473429953,0.999984039074055
0.0,0.41932367149758454,0.9999813512423763
0.0,0.421256038647343,0.9999813484668156
0.0,0.4357487922705314,0.999980947595042
0.0,0.43768115942028984,0.9999809279019336
0.0,0.4396135265700483,0.9999806581655382
0.0,0.44154589371980674,0.9999806366193013
0.0,0.4434782608695652,0.9999805166503095
0.0,0.4454106280193237,0.9999804110156779
0.0,0.4492753623188406,0.9999802493810073
0.0,0.45120772946859905,0.9999802195803038
0.0,0.45507246376811594,0.9999793838704316
0.0,0.4570048309178744,0.9999792270811133
0.0,0.4628019323671498,0.9999774900238128
0.0,0.4647342995169082,0.9999771778825504
0.0,0.46570048309178746,0.9999769907332097
