feature,coefficient,abs_coefficient
init bw window bytes,-5.911828280469939,5.911828280469939
init fw window bytes,-3.1022181514149523,3.1022181514149523
fw TCP total header length,2.868463997934629,2.868463997934629
flow down/up ratio,2.508492467741823,2.508492467741823
fw total IEC104_S_Message packets,-1.8550624773936488,1.8550624773936488
flow packet APDU length mean,1.5900902936675931,1.5900902936675931
bw packet APDU length min,-1.5222588690674785,1.5222588690674785
flow active time mean,-1.2335988142551557,1.2335988142551557
flow IAT min,0.9566415218271455,0.9566415218271455
cot=20,-0.94433867027465,0.94433867027465
bw total IEC104_I_Message_SingleIOA packets,0.8810421680694913,0.8810421680694913
cot=3,0.8509534246355027,0.8509534246355027
flow packets APDU total length,0.827890106293876,0.827890106293876
bw total IEC104_U_Message packets,-0.8170531076548737,0.8170531076548737
flow packet APDU length min,0.8081667817573334,0.8081667817573334
fw packet APDU length mean,-0.7974096236360215,0.7974096236360215
flow total IEC104_S_Message packets,-0.7932340669771488,0.7932340669771488
flow packet APDU length max,-0.7380517116891988,0.7380517116891988
bw IAT std,-0.6854651540320252,0.6854651540320252
flow idle time min,0.6667272135425103,0.6667272135425103
fw avg bulk rate,0.6570361353722967,0.6570361353722967
fw packet APDU length var,0.6555478933315504,0.6555478933315504
fw avg bytes/bulk,0.6412807091910818,0.6412807091910818
fw IAT min,0.6317100685570195,0.6317100685570195
fw avg packets/bulk,0.6316978541761372,0.6316978541761372
cot=6,0.6238264873149643,0.6238264873149643
flow total IEC104_I_Message_SingleIOA packets,0.588763704984724,0.588763704984724
bw_subflow_packets,-0.5837895988226904,0.5837895988226904
fw packet APDU length min,0.5780001545557242,0.5780001545557242
cot=10,0.5636607936589089,0.5636607936589089
type_id_process_information_in_monitor_direction,0.5562212918187541,0.5562212918187541
cot=7,-0.5484081796864302,0.5484081796864302
flow IAT mean,0.5253507416440911,0.5253507416440911
flow active time max,-0.5187832526079721,0.5187832526079721
fw IAT max,-0.5101356102278688,0.5101356102278688
bw packets APDU total length,-0.4945700857483721,0.4945700857483721
flow IAT max,-0.4906274297086838,0.4906274297086838
flow total IEC104_U_Message packets,-0.47398042986190403,0.47398042986190403
fw packet APDU length max,-0.46993383185540033,0.46993383185540033
flow ACK flag count,0.4488834416348097,0.4488834416348097
flow PSH flag count,0.4488834416348097,0.4488834416348097
total flow packets,0.4488834416348097,0.4488834416348097
bw TCP total header length,0.4436246625478516,0.4436246625478516
flow idle time variance,-0.4333249483908639,0.4333249483908639
flow iec104 bytes/s,0.43246012806430084,0.43246012806430084
flow idle time max,-0.38356237560476947,0.38356237560476947
fw packets APDU total length,-0.3729383150126427,0.3729383150126427
bw PSH flag amount,-0.3726125109556098,0.3726125109556098
total bw packets,-0.3726125109556098,0.3726125109556098
bw IAT max,-0.3642559771720534,0.3642559771720534
bw iec104 bytes/s,0.3477279026462948,0.3477279026462948
flow active time std,0.33946442774855223,0.33946442774855223
fw iAT tot,0.32963531970526516,0.32963531970526516
bw packet APDU length std,-0.3260914994225993,0.3260914994225993
fw packet APDU length std,0.3246203119119607,0.3246203119119607
fw_subflow_bytes,0.3215348599579155,0.3215348599579155
fw_subflow_packets,-0.3069166370620318,0.3069166370620318
bw packet APDU length var,-0.290373494559329,0.290373494559329
cot=1,-0.27305606595427007,0.27305606595427007
fw iec104 packts/s,-0.2583684780175021,0.2583684780175021
flow packet APDU length std,-0.24222134499556724,0.24222134499556724
bw IAT min,0.23690631585211727,0.23690631585211727
bw IAT tot,-0.22002561098546802,0.22002561098546802
flow idle time mean,0.21869621907379608,0.21869621907379608
flow IAT std,-0.21743472559372662,0.21743472559372662
bw_subflow_bytes,0.21478236115546281,0.21478236115546281
flow active time variance,0.1936825996705719,0.1936825996705719
flow duration,0.18476081286603954,0.18476081286603954
flow IAT tot,0.18476081274871592,0.18476081274871592
fw IAT mean,0.16352359610292308,0.16352359610292308
bw IAT mean,-0.13974801199133163,0.13974801199133163
fw PSH flag amount,-0.13952827429767128,0.13952827429767128
total fw packets,-0.13952827429767128,0.13952827429767128
fw iec104 bytes/s,-0.13882212688843965,0.13882212688843965
flow idle time std,-0.13224850401850663,0.13224850401850663
bw total IEC104_S_Message packets,-0.12107100637838325,0.12107100637838325
fw total IEC104_U_Message packets,-0.11114798213641353,0.11114798213641353
fw IAT std,-0.09208839410320449,0.09208839410320449
type_id_process_information_in_control_direction,0.08403722489834636,0.08403722489834636
flow iec104 packts/s,0.08314166064513057,0.08314166064513057
bw packet APDU length max,0.07471168080751323,0.07471168080751323
flow active time min,-0.06884425381196854,0.06884425381196854
bw packet APDU length mean,-0.06503910809768189,0.06503910809768189
flow packet APDU length var,0.04304070978322262,0.04304070978322262
type_id_system_information_in_control_direction,-0.04099841901010332,0.04099841901010332
fw total IEC104_I_Message_SingleIOA packets,-0.039680208401324225,0.039680208401324225
bw iec104 packts/s,-0.005104264007062358,0.005104264007062358
fw total IEC104_I_Message_SeqIOA packets,0.0,0.0
flow total IEC104_I_Message_SeqIOA packets,0.0,0.0
flow RST flag count,0.0,0.0
flow URG flag count,0.0,0.0
bw URG flag amount,0.0,0.0
fw URG flag amount,0.0,0.0
flow SYN flag count,0.0,0.0
bw total IEC104_I_Message_SeqIOA packets,0.0,0.0
flow CWE flag count,0.0,0.0
flow ECE flag count,0.0,0.0
cot=4,0.0,0.0
bw avg packets/bulk,0.0,0.0
bw avg bytes/bulk,0.0,0.0
cot=2,0.0,0.0
bw avg bulk rate,0.0,0.0
cot=5,0.0,0.0
cot=12,0.0,0.0
cot=11,0.0,0.0
cot=9,0.0,0.0
cot=8,0.0,0.0
cot=13,0.0,0.0
type_id_system_information_in_monitor_direction,0.0,0.0
type_id_parameter_in_control_direction,0.0,0.0
type_id_file_transfer,0.0,0.0
