threshold,score
0.01,0.9998182809376703
0.02,0.9998182809376703
0.03,0.9998182809376703
0.04,0.9998182809376703
0.05,1.0
0.060000000000000005,1.0
0.06999999999999999,0.9999091156957194
0.08,0.9999091156957194
0.09,0.9999091156957194
0.09999999999999999,0.9999091156957194
0.11,0.9999091156957194
0.12,0.9999091156957194
0.13,0.9999091156957194
0.14,0.9999091156957194
0.15000000000000002,0.9999091156957194
0.16,0.9999091156957194
0.17,0.9999091156957194
0.18000000000000002,0.9999091156957194
0.19,0.9999091156957194
0.2,0.9999091156957194
0.21000000000000002,0.9999091156957194
0.22,0.9999091156957194
0.23,0.9999091156957194
0.24000000000000002,0.9999091156957194
0.25,0.9999091156957194
0.26,0.9999091156957194
0.27,0.9999091156957194
0.28,0.9999091156957194
0.29000000000000004,0.9999091156957194
0.3,0.9999091156957194
0.31,0.9999091156957194
0.32,0.9999091156957194
0.33,0.9999091156957194
0.34,0.9999091156957194
0.35000000000000003,0.9999091156957194
0.36000000000000004,0.9999091156957194
0.37,0.9999091156957194
0.38,0.9999091156957194
0.39,0.9999091156957194
0.4,0.9999091156957194
0.41000000000000003,0.9999091156957194
0.42000000000000004,0.9999091156957194
0.43,0.9999091156957194
0.44,0.9999091156957194
0.45,0.9999091156957194
0.46,0.9999091156957194
0.47000000000000003,0.9999091156957194
0.48000000000000004,0.9999091156957194
0.49,0.9999091156957194
0.5,0.9999091156957194
0.51,0.9999091156957194
0.52,0.9999091156957194
0.53,0.9999091156957194
0.54,0.9999091156957194
0.55,0.9999091156957194
0.56,0.9999091156957194
0.5700000000000001,0.9999091156957194
0.5800000000000001,0.9999091156957194
0.59,0.9999091156957194
0.6,0.9999091156957194
0.61,0.9981791697013839
0.62,0.9981791697013839
0.63,0.9981791697013839
0.64,0.9981791697013839
0.65,0.9981791697013839
0.66,0.9981791697013839
0.67,0.9981791697013839
0.68,0.9981791697013839
0.6900000000000001,0.9981791697013839
0.7000000000000001,0.9981791697013839
0.7100000000000001,0.9981791697013839
0.72,0.9981791697013839
0.73,0.9981791697013839
0.74,0.9981791697013839
0.75,0.9981791697013839
0.76,0.9981791697013839
0.77,0.9981791697013839
0.78,0.9981791697013839
0.79,0.9981791697013839
0.8,0.9981791697013839
0.81,0.9981791697013839
0.8200000000000001,0.9981791697013839
0.8300000000000001,0.9981791697013839
0.8400000000000001,0.9981791697013839
0.85,0.9981791697013839
0.86,0.9981791697013839
0.87,0.9981791697013839
0.88,0.9981791697013839
0.89,0.9981791697013839
0.9,0.9981791697013839
0.91,0.9981791697013839
0.92,0.9981791697013839
0.93,0.9981791697013839
0.9400000000000001,0.9981791697013839
0.9500000000000001,0.9981791697013839
0.9600000000000001,0.9981791697013839
0.97,0.9981791697013839
0.98,0.9981791697013839
0.99,0.9853388658367912
