threshold,score
0.01,0.9981857764876633
0.02,0.9991827839825661
0.03,0.9993642720915448
0.04,0.9995458261422473
0.05,0.9997274461706187
0.060000000000000005,0.9997274461706187
0.06999999999999999,0.9997274461706187
0.08,0.9997274461706187
0.09,0.9997274461706187
0.09999999999999999,0.9997274461706187
0.11,0.9997274461706187
0.12,0.9997274461706187
0.13,0.9997274461706187
0.14,0.9997274461706187
0.15000000000000002,0.9997274461706187
0.16,1.0
0.17,1.0
0.18000000000000002,1.0
0.19,1.0
0.2,1.0
0.21000000000000002,1.0
0.22,1.0
0.23,1.0
0.24000000000000002,1.0
0.25,1.0
0.26,1.0
0.27,1.0
0.28,0.9999091156957194
0.29000000000000004,0.9999091156957194
0.3,0.9999091156957194
0.31,0.9999091156957194
0.32,0.9999091156957194
0.33,0.9999091156957194
0.34,0.9999091156957194
0.35000000000000003,0.9999091156957194
0.36000000000000004,0.9999091156957194
0.37,0.9999091156957194
0.38,0.9999091156957194
0.39,0.9999091156957194
0.4,0.9999091156957194
0.41000000000000003,0.9999091156957194
0.42000000000000004,0.9999091156957194
0.43,0.9998182148700236
0.44,0.9997272975184074
0.45,0.9997272975184074
0.46,0.9997272975184074
0.47000000000000003,0.9997272975184074
0.48000000000000004,0.9997272975184074
0.49,0.9997272975184074
0.5,0.9997272975184074
0.51,0.9997272975184074
0.52,0.9997272975184074
0.53,0.9997272975184074
0.54,0.9997272975184074
0.55,0.9997272975184074
0.56,0.9997272975184074
0.5700000000000001,0.9997272975184074
0.5800000000000001,0.9997272975184074
0.59,0.9997272975184074
0.6,0.9996363636363637
0.61,0.9988172140842507
0.62,0.9986349986349986
0.63,0.9981791697013839
0.64,0.9981791697013839
0.65,0.9981791697013839
0.66,0.9980879541108987
0.67,0.9980879541108987
0.68,0.9980879541108987
0.6900000000000001,0.9980879541108987
0.7000000000000001,0.9980879541108987
0.7100000000000001,0.9980879541108987
0.72,0.9980879541108987
0.73,0.9980879541108987
0.74,0.9980879541108987
0.75,0.9980879541108987
0.76,0.9980879541108987
0.77,0.9980879541108987
0.78,0.9980879541108987
0.79,0.9980879541108987
0.8,0.9979054730898825
0.81,0.9979054730898825
0.8200000000000001,0.9979054730898825
0.8300000000000001,0.9978142076502732
0.8400000000000001,0.9975403115605357
0.85,0.997174883805705
0.86,0.9950684931506849
0.87,0.994976710201845
0.88,0.994976710201845
0.89,0.994976710201845
0.9,0.994976710201845
0.91,0.9947930939983557
0.92,0.9943337598245293
0.93,0.9943337598245293
0.9400000000000001,0.9941499085923218
0.9500000000000001,0.9938740056688306
0.9600000000000001,0.9795994065281899
0.97,0.9789366242924747
0.98,0.9780832095096582
0.99,0.9681170292573144
