feature,coefficient,abs_coefficient
init bw window bytes,-5.039455517795837,5.039455517795837
fw TCP total header length,2.1703651326978353,2.1703651326978353
init fw window bytes,-1.638415598197079,1.638415598197079
flow down/up ratio,1.6000980367413589,1.6000980367413589
flow packet APDU length min,1.5771686918437668,1.5771686918437668
bw TCP total header length,1.3573248880412885,1.3573248880412885
fw packet APDU length min,1.2689186647853272,1.2689186647853272
flow packet APDU length mean,0.8043208901276192,0.8043208901276192
bw_subflow_packets,-0.721370809963708,0.721370809963708
flow active time mean,-0.7067509230055973,0.7067509230055973
cot=6,0.6685031052496807,0.6685031052496807
fw IAT min,0.6476182021574309,0.6476182021574309
flow packets APDU total length,0.6349305832689313,0.6349305832689313
cot=20,-0.5718615950170821,0.5718615950170821
cot=7,-0.5661768483976783,0.5661768483976783
bw total IEC104_U_Message packets,-0.5540629547189271,0.5540629547189271
bw IAT std,-0.510949511267188,0.510949511267188
bw packet APDU length min,0.5053857656081859,0.5053857656081859
fw iec104 packts/s,-0.4970165991640199,0.4970165991640199
bw total IEC104_I_Message_SingleIOA packets,0.4835347987082787,0.4835347987082787
bw IAT tot,-0.47716332131797407,0.47716332131797407
fw packet APDU length mean,-0.4710815316906405,0.4710815316906405
flow idle time min,0.3896396212927379,0.3896396212927379
flow iec104 bytes/s,0.3758635135105771,0.3758635135105771
bw total IEC104_S_Message packets,-0.3588013113779358,0.3588013113779358
bw iec104 bytes/s,0.3577206517047031,0.3577206517047031
flow ACK flag count,0.34339048996063737,0.34339048996063737
total flow packets,0.34339048996063737,0.34339048996063737
flow PSH flag count,0.34339048996063737,0.34339048996063737
flow IAT max,-0.31775251332866833,0.31775251332866833
bw_subflow_bytes,0.3015777766530457,0.3015777766530457
flow IAT mean,0.2661875297750632,0.2661875297750632
bw packet APDU length mean,0.26448470422043896,0.26448470422043896
fw total IEC104_S_Message packets,-0.26100685138436747,0.26100685138436747
flow total IEC104_S_Message packets,-0.2580234794719854,0.2580234794719854
fw avg packets/bulk,0.2550648301809852,0.2550648301809852
fw avg bytes/bulk,0.25431380533449066,0.25431380533449066
fw packet APDU length var,0.2517864989953913,0.2517864989953913
fw avg bulk rate,0.2402014648292881,0.2402014648292881
fw iec104 bytes/s,-0.24014014179756757,0.24014014179756757
flow idle time max,-0.23111534516091714,0.23111534516091714
flow IAT min,0.23015886444717956,0.23015886444717956
bw packet APDU length max,0.22585099614802898,0.22585099614802898
fw IAT max,-0.21557193471124192,0.21557193471124192
fw total IEC104_I_Message_SingleIOA packets,-0.21067682782084077,0.21067682782084077
fw packet APDU length max,-0.19702300575009712,0.19702300575009712
total bw packets,-0.1917878794142348,0.1917878794142348
bw PSH flag amount,-0.1917878794142348,0.1917878794142348
flow active time std,0.17591860417914257,0.17591860417914257
bw IAT max,0.17582762757827222,0.17582762757827222
flow packet APDU length std,-0.17356922835773791,0.17356922835773791
fw_subflow_packets,-0.16905695487248426,0.16905695487248426
bw IAT min,0.16569054563071986,0.16569054563071986
cot=3,0.15440611945213464,0.15440611945213464
fw iAT tot,-0.15133603796046877,0.15133603796046877
flow idle time variance,-0.14623780168581246,0.14623780168581246
flow active time min,-0.1245589420728152,0.1245589420728152
