fpr,tpr,threshold
0.0,0.0,inf
0.0,0.9931382159361434,1.0
0.0,0.996359053353872,0.995
0.0,0.9969191989917379,0.985
0.0,0.9973393082201373,0.98
0.0,0.9974793446296037,0.975
0.0,0.9977594174485366,0.97
0.0,0.997899453858003,0.965
0.0,0.998179526676936,0.96
0.0,0.9984595994958689,0.94
0.0,0.9987396723148019,0.93
0.0,0.9988797087242683,0.925
0.0,0.9994398543621341,0.86
0.0,1.0,0.82
0.0008428150021070375,1.0,0.11
0.001685630004214075,1.0,0.07
0.0025284450063211127,1.0,0.015
0.004635482511588706,1.0,0.005
1.0,1.0,0.0
