schema_cols,status,rows,source_files_used,train_groups,val_groups,test_groups,threshold,val_target_metric,accuracy,precision,recall,specificity,f1,roc_auc,log_loss,unique_groups
84,ok,26136,47.0,29.0,8.0,10.0,0.65,0.9985045930356762,0.7980737838720209,0.993431855500821,0.5970394736842105,0.9961114711600778,0.7458393260735566,0.85527866724085,0.3862678160409927,
119,skipped_too_few_rows,3864,,,,,,,,,,,,,,19.0
