Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Gradient Boosting,0.5948412698412698,0.6000473168606856,0.5948412698412698,0.5814410830746672,0.9415955473098332,0.6134818237919604,0.00561827629697596
Random Forest,0.5865079365079365,0.5871724464648516,0.5865079365079365,0.5766936242503516,0.9418396550539408,0.590107779962399,0.007139231880829918
KNN,0.5619047619047619,0.5671093751587286,0.5619047619047619,0.5596596519387675,0.8841051673194531,0.5513213450250435,0.010865686430219774
Decision Tree,0.5535714285714286,0.5510353661590814,0.5535714285714286,0.5438176644519581,0.7564656771799629,0.5518313982692059,0.013257417164676646
MLP,0.542063492063492,0.6197084203312277,0.542063492063492,0.5174871823131936,0.9345808424379854,0.5657183656481866,0.0126580758332349
Logistic Regression,0.5373015873015873,0.5454833095021637,0.5373015873015873,0.5210695881624896,0.9371296296296296,0.5652119002855954,0.01583194552844484
SVM,0.5285714285714286,0.5753106177926959,0.5285714285714286,0.49885853016963755,0.9256106988249846,,
Naive Bayes,0.4797619047619048,0.4496585565183291,0.4797619047619048,0.40099100722265846,0.9002383529169243,0.4947483459865957,0.014005551041749038
AdaBoost,0.4646825396825397,0.4004937170224113,0.4646825396825397,0.38723508296949877,0.9255132962275819,0.48644613154608995,0.023431461727582693
