fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0001917790705107716,0.9982557413864922
0.0,0.00447484497858467,0.9982388618316381
0.0,0.004730550405932366,0.9981682624506859
0.0,0.3212299431055424,0.9981503629625278
0.0,0.32129386946237937,0.9981237484106761
0.0,0.3216774276034009,0.9980625821062975
0.0,0.3217413539602378,0.9979307947566085
0.0,0.32218883845809626,0.9978930546300991
0.0,0.3222527648149332,0.9978299283467531
0.0,0.32321166016748704,0.9977872171396701
0.0,0.323275586524324,0.9976735606847594
0.0,0.3236591446653455,0.9975889369346533
0.0,0.32794221057341943,0.9972170635734584
0.0,0.3280061369302563,0.9965486466846439
0.0,0.32864540049862556,0.995748046654607
0.0,0.3301157067058748,0.9957439633041154
0.0,0.3327366873361887,0.9957142222061384
0.0,0.3329284664066995,0.9955424885245558
0.0,0.3329923927635364,0.9955089845599814
0.0,0.33312024547721025,0.9954179655593007
0.0,0.3331841718340472,0.995417235383712
0.0,0.34143067186601034,0.9952855417267644
0.0,0.34238956721856423,0.9952724182426869
0.0,0.342581346289075,0.9952286974916349
0.0,0.3429009780732596,0.9951852635022629
0.0,0.34296490443009653,0.9950971330160304
0.0,0.3517228153167551,0.9950704983738221
0.0,0.3522981525282874,0.9950624735231409
0.0,0.36604231924822606,0.9950493717164047
0.0,0.36636195103241065,0.9950487321804056
0.0,0.36706514095761683,0.9950032798637567
0.0,0.36712906731445377,0.9949997894449121
0.0,0.36732084638496454,0.9949970968117482
0.0,0.36847152080802914,0.9949662103926478
0.0,0.368599373521703,0.9949599817024054
0.0,0.3687911525922138,0.9949145182356249
0.0,0.3688550789490507,0.9948982381848694
0.0,0.36898293166272456,0.994876793653815
0.0,0.36904685801956144,0.9948704548918649
0.0,0.3864987534360417,0.9948667533974097
0.0,0.3870101642907371,0.9948151871603451
0.0,0.38880010228217093,0.9947982687516828
0.0,0.3899507767052356,0.9947774426258826
0.0,0.3900786294189094,0.9947523809232045
0.0,0.39014255577574636,0.9947358386776372
0.0,0.3908457457009525,0.9947211544728308
0.0,0.39186856741034326,0.9947146241670579
0.0,0.39282746276289715,0.9946979635339898
0.0,0.39314709454708174,0.9946967956991927
0.0,0.3932110209039187,0.9946914046924886
0.0,0.3933388736175925,0.9946912577533318
0.0,0.3945534743974941,0.9946586411533862
0.0,0.394617400754331,0.994652033929981
0.0,0.40669948219650964,0.9946515130746796
0.0,0.40682733491018347,0.9946274082362423
