estimator_idx,estimator_weight,estimator_error
0,0.09146497251324957,0.28604930278098006
1,0.08231847526192469,0.30508804380988674
2,0.07408662773573221,0.3228147418071271
3,0.06667796496215889,0.33921830572991135
4,0.060010168465943065,0.3543204302712067
5,0.06219309017842922,0.34934242544030314
6,0.05734026717813865,0.36045204739745096
7,0.0591122642657356,0.3563773094284268
8,0.054854914722545126,0.36620108338356877
9,0.05627363960458928,0.36291454719122035
10,0.05253592958244838,0.3715999074393166
11,0.053652447538233373,0.3689964476100341
12,0.05036748364574254,0.3766774580207472
13,0.044884952624658844,0.38963433628570043
14,0.05390030766352726,0.3684195225059855
15,0.04856159285662637,0.3809268852950743
16,0.04766505753110423,0.38304335440798076
17,0.04670051668735666,0.38532532494210947
18,0.045858316373218605,0.3873219905774063
19,0.04151478371023137,0.39767841111140734
20,0.047649207021303056,0.38308081320826365
21,0.04288428631917282,0.39440267897801284
22,0.04355254707069853,0.39280767495530305
23,0.03961587037393825,0.40223560145434767
24,0.04177226458418489,0.39706182920543076
25,0.03759503812576635,0.4071039859706654
26,0.04351276431003048,0.39290256478561236
27,0.0391614878790274,0.4033286120301378
28,0.04016537739301694,0.40091506785794917
29,0.035889867068366756,0.41122619283178696
30,0.04041296455465707,0.4003205537758979
31,0.036343952731108235,0.41012720910589984
32,0.03827831460380254,0.40545581184564206
33,0.034226135802353175,0.41526027095882323
34,0.03774650482360228,0.4067384418057196
35,0.034087797746900836,0.4155962216173888
36,0.03054015236194695,0.4242375697941185
37,0.03006602208300113,0.42539609465676
38,0.034441296442192536,0.4147379151019472
39,0.04370314761960437,0.3924485359235924
40,0.027856195018363863,0.4308063683343295
41,0.028889236474091546,0.4282750561172166
42,0.02719790127397378,0.4324213149514511
43,0.028012858690618377,0.4304222515495494
44,0.03804098469507126,0.4060280507692178
45,0.027595070557589408,0.43144679282623005
46,0.025134823403593215,0.4374916806325525
47,0.02672625359073191,0.43357926151167225
48,0.035626986808318606,0.4118628246470998
49,0.02643253887116405,0.4343007306866575
50,0.024389599709396553,0.439326468019023
51,0.028582714212496335,0.4290257572889182
52,0.03727693339012126,0.40787202273497175
53,0.023783323310773475,0.4408203852594476
54,0.02417192333190466,0.43986271630289475
55,0.023275040129860435,0.4420736662706806
56,0.0235399154539975,0.44142046635029536
57,0.022786170597405165,0.44327977542847685
58,0.02310829534546038,0.4424849728093517
59,0.02233146775881774,0.44440219144526777
60,0.022699026339856786,0.44349484309818993
61,0.021874833496450984,0.4455299463582697
62,0.02208372228667453,0.44501398098052986
63,0.03134022472480976,0.4222845068828196
64,0.022126845883145688,0.4449074783420639
65,0.020459905063860834,0.4490279242768488
66,0.02197160796104621,0.4452908941021603
67,0.020036336400586906,0.4500760657037003
68,0.02136780470201539,0.44678281819990406
69,0.02005183628478883,0.450037702609124
70,0.03022905268410522,0.42499764056887457
71,0.02607045867552918,0.4351905130608735
72,0.01990424193011535,0.4504030310730956
73,0.01972928040789335,0.4508361685466056
74,0.01947735204251177,0.4514599770775916
75,0.019431366933399186,0.45157385891963314
76,0.019101107675913283,0.4523918922687872
77,0.018915000232137467,0.45285298341422336
78,0.02773059744963956,0.4311143756747114
79,0.01928612203146339,0.45193359028815094
80,0.01781396974302388,0.45558247479129943
81,0.01896000133078285,0.4527414833381015
82,0.017544789240836054,0.4562501947717384
83,0.018536325350880813,0.4537914196975016
84,0.017308687246389256,0.45683599089555316
85,0.018116716494464787,0.45483168238791793
86,0.025725216363455563,0.43603930680751285
87,0.01838185761952822,0.4541743180342064
88,0.016561397643832767,0.458690881594367
89,0.020790273588396174,0.44821072479974067
90,0.027103168998657175,0.4326538341998852
91,0.016614927419557873,0.45855797355243244
92,0.016964828810920648,0.4576893562670552
93,0.016327790289435748,0.45927096931871697
94,0.016519323730279225,0.45879535022494894
95,0.01606767688813942,0.4599170059985026
96,0.0163362591702858,0.45924993767551237
97,0.015850300979835998,0.4604570001445123
98,0.016744263141599783,0.45823687276831704
99,0.01561358476926072,0.4610451440390663
100,0.022534173609274684,0.44390174926394005
101,0.020280756248347187,0.4494711821141222
102,0.018252680623512534,0.45449456672919275
103,0.016427412561161352,0.45902357628586166
104,0.015158484853726457,0.4621761863370656
