feature,mean_abs_input_weight
Fwd IAT Min,0.22815250648048618
Flow IAT Min,0.1958021075965718
Bwd IAT Std,0.15784112096612657
Fwd Pkt Len Std,0.13663773859480743
PSH Flag Cnt,0.13065504185409457
Src Port,0.12494219469821771
Active Min,0.12489670749305916
Bwd IAT Min,0.12389041324632068
Fwd Act Data Pkts,0.12081993116731765
Fwd Pkts/s,0.12067141219941749
Bwd IAT Mean,0.11874712113827611
Bwd PSH Flags,0.1186758637981406
Idle Std,0.11700947481881979
Fwd IAT Std,0.11537586607725304
Active Mean,0.11150432650330891
Bwd Header Len,0.10927104543705288
Flow Byts/s,0.10926001998424965
SYN Flag Cnt,0.10914695111946926
Down/Up Ratio,0.10913678290722417
TotLen Fwd Pkts,0.10812333567546183
Bwd Pkt Len Std,0.1078032179162908
Active Std,0.10693595198636408
Pkt Len Std,0.10597102005627537
Bwd IAT Tot,0.10586556218706147
Bwd IAT Max,0.10463575070103129
Pkt Len Var,0.10442191467245734
Flow Pkts/s,0.10347548354987349
Flow IAT Max,0.10331800334343652
Pkt Len Mean,0.10210291485049128
Tot Fwd Pkts,0.1019389077046114
Dst Port,0.10115274023347609
Fwd IAT Tot,0.10082705686114213
Tot Bwd Pkts,0.09950292439827861
Bwd Pkts/s,0.09902072735776225
Fwd Header Len,0.09879330642852899
Init Bwd Win Byts,0.09750696837309074
Flow IAT Std,0.09733338748687692
Idle Mean,0.09730066466972886
Active Max,0.09708157181371091
Subflow Fwd Byts,0.09677361601946075
Subflow Fwd Pkts,0.09645953635809693
Bwd Seg Size Avg,0.09524139680961813
Protocol,0.09502705997884824
Bwd Pkt Len Min,0.09494939113445357
Bwd Pkt Len Mean,0.0949464434925928
ACK Flag Cnt,0.09445981213791783
Pkt Size Avg,0.09418478267217409
Fwd IAT Mean,0.0920969704295015
Fwd Pkt Len Max,0.09188320572333913
Flow IAT Mean,0.09176857349902356
Init Fwd Win Byts,0.09147409371144016
Fwd Pkt Len Mean,0.09128361479022017
TotLen Bwd Pkts,0.09112983659081393
Idle Max,0.0894476886136843
Fwd Pkt Len Min,0.08936761981324953
Pkt Len Min,0.08912182612913137
Pkt Len Max,0.08889493165773746
Fwd Seg Size Avg,0.08803966947793343
Flow Duration,0.08707186131289968
Subflow Bwd Pkts,0.08689727901637159
Fwd IAT Max,0.08592031309488987
Idle Min,0.08484201079783382
Bwd Pkt Len Max,0.08365561133079194
Subflow Bwd Byts,0.08316918090387436
missing__Idle Min,0.06351941046755206
missing__Active Max,0.0515862817225187
missing__Flow Byts/s,0.04972677637883379
missing__Flow Pkts/s,0.0486890104369695
missing__FIN Flag Cnt,0.0464164683249014
missing__Bwd Pkt Len Mean,0.045901414246843894
missing__CWE Flag Count,0.0414649052302469
missing__Fwd Seg Size Min,0.03972894122696641
missing__Active Min,0.0316330492743887
missing__Init Fwd Win Byts,0.030982265362362052
missing__ECE Flag Cnt,0.028179004525163844
missing__Fwd Seg Size Avg,0.02730239989321162
missing__Idle Std,0.026579102402915906
missing__Idle Mean,0.026237240618881212
missing__Down/Up Ratio,0.025247264716956645
missing__Subflow Fwd Byts,0.02512720034808174
missing__Bwd Blk Rate Avg,0.024945937166624646
missing__Bwd Byts/b Avg,0.02480755752903531
missing__Fwd Act Data Pkts,0.02461436764097388
missing__Idle Max,0.024465694086159544
missing__Active Std,0.024400478434215285
missing__Fwd Blk Rate Avg,0.023805394875057232
missing__Fwd Pkts/b Avg,0.023232880854118947
missing__Bwd Seg Size Avg,0.022812013506042828
missing__Bwd Pkts/b Avg,0.022262925546966936
missing__Active Mean,0.021150574524528405
missing__Init Bwd Win Byts,0.020765554893596522
missing__Subflow Bwd Byts,0.02043731509198582
missing__Subflow Fwd Pkts,0.020164174614173677
missing__Fwd Byts/b Avg,0.01978245219873179
missing__Subflow Bwd Pkts,0.019710906185265994
missing__Pkt Size Avg,0.01905112408223334
Bwd Pkts/b Avg,7.537667373182947e-15
missing__Fwd Header Len,7.254419361210487e-15
missing__Fwd IAT Max,7.198602940799999e-15
missing__Pkt Len Min,7.181527794901693e-15
missing__Bwd IAT Mean,6.639859801941615e-15
Fwd Byts/b Avg,6.596494612254591e-15
missing__Bwd IAT Max,6.55974686842878e-15
missing__Flow IAT Mean,6.5318619024987446e-15
missing__Bwd URG Flags,6.366154417342385e-15
missing__Pkt Len Mean,6.355296929075975e-15
missing__Pkt Len Max,6.268288061534908e-15
missing__PSH Flag Cnt,6.220516969401548e-15
missing__Bwd IAT Min,6.218881700818075e-15
missing__Bwd Pkt Len Std,6.154031549153476e-15
missing__ACK Flag Cnt,6.126257597181024e-15
missing__Fwd IAT Tot,5.953515264890877e-15
FIN Flag Cnt,5.942311354600608e-15
Fwd URG Flags,5.883629111303956e-15
missing__Fwd IAT Std,5.878547076377758e-15
missing__Bwd Header Len,5.7696722798444415e-15
Fwd Blk Rate Avg,5.6171616529758425e-15
missing__Fwd URG Flags,5.591206796853847e-15
missing__Pkt Len Var,5.48125736760973e-15
missing__RST Flag Cnt,5.47326748209657e-15
missing__Flow IAT Std,5.464773843399076e-15
missing__Flow IAT Min,5.4401585960810225e-15
missing__Fwd PSH Flags,5.4308421329696354e-15
CWE Flag Count,5.4270346080938826e-15
Bwd URG Flags,5.4266545302339705e-15
Fwd PSH Flags,5.381380654395019e-15
missing__Bwd IAT Tot,5.344414200027503e-15
missing__Fwd IAT Mean,5.299713473364993e-15
Fwd Pkts/b Avg,5.201114572374481e-15
missing__Fwd IAT Min,5.174148186347165e-15
missing__SYN Flag Cnt,5.158290235178109e-15
RST Flag Cnt,5.0530971196309635e-15
missing__Pkt Len Std,4.985750167108575e-15
Bwd Byts/b Avg,4.848435063747735e-15
URG Flag Cnt,4.6823686285673275e-15
missing__Flow IAT Max,4.65329835239529e-15
missing__URG Flag Cnt,4.486852892955726e-15
missing__Bwd IAT Std,4.432384508078942e-15
Bwd Blk Rate Avg,4.369100515607497e-15
ECE Flag Cnt,4.319470989774001e-15
Fwd Seg Size Min,4.2651771154375844e-15
missing__Fwd Pkts/s,4.232611034593622e-15
missing__Bwd PSH Flags,4.197074020461198e-15
missing__Bwd Pkts/s,3.838959837456952e-15
