threshold,score
0.01,0.7997948367242264
0.02,0.8341654778887304
0.03,0.8456254519161244
0.04,0.8502362777171938
0.05,0.8538054389487133
0.060000000000000005,0.8561493411420205
0.06999999999999999,0.8575618698441797
0.08,0.8588213695612263
0.09,0.8596104373392135
0.09999999999999999,0.8599264705882353
0.11,0.8613515006444485
0.12,0.8618275607958733
0.13,0.8623041474654378
0.14,0.8624631268436578
0.15000000000000002,0.8627812615271118
0.16,0.8632589038568002
0.17,0.8632589038568002
0.18000000000000002,0.8638965835641735
0.19,0.8638965835641735
0.2,0.8638965835641735
0.21000000000000002,0.8640561507203547
0.22,0.8643754619364376
0.23,0.8648548715104456
0.24000000000000002,0.8656550703182827
0.25,0.8661359007591187
0.26,0.8664567512502315
0.27,0.8669384729429207
0.28,0.8669384729429207
0.29000000000000004,0.8670991658943467
0.3,0.8672599184278829
0.31,0.8675816023738873
0.32,0.870973747905418
0.33,0.8735760971055089
0.34,0.876850984067479
0.35000000000000003,0.8784976525821596
0.36000000000000004,0.8798194470566109
0.37,0.8818096135721017
0.38,0.8826415094339622
0.39,0.8828080769956596
0.4,0.8828080769956596
0.41000000000000003,0.8831414007929016
0.42000000000000004,0.8839758125472411
0.43,0.8858170800984662
0.44,0.8868246445497631
0.45,0.913671875
0.46,0.9677285891601158
0.47000000000000003,0.9854645038971982
0.48000000000000004,0.9862955935062196
0.49,0.9864978902953586
0.5,0.9871226514671733
0.51,0.9879568983731248
0.52,0.9885835095137421
0.53,0.9892109160143855
0.54,0.9898391193903472
0.55,0.9906779661016949
0.56,0.991728525980912
0.5700000000000001,0.995741056218058
0.5800000000000001,0.9968023875506289
0.59,0.9974402730375427
0.6,0.9972263708128867
0.61,0.9976520811099253
0.62,0.9976520811099253
0.63,0.9980781550288277
0.64,0.9982913284920973
0.65,0.9985045930356762
0.66,0.9985045930356762
0.67,0.9985045930356762
0.68,0.9985045930356762
0.6900000000000001,0.9985045930356762
0.7000000000000001,0.9985045930356762
0.7100000000000001,0.9985045930356762
0.72,0.9985045930356762
0.73,0.9985045930356762
0.74,0.9985045930356762
0.75,0.9985045930356762
0.76,0.9985045930356762
0.77,0.9982905982905983
0.78,0.9982905982905983
0.79,0.9982905982905983
0.8,0.9982905982905983
0.81,0.9978623343309106
0.8200000000000001,0.9978614200171086
0.8300000000000001,0.9976470588235294
0.8400000000000001,0.9976470588235294
0.85,0.9976470588235294
0.86,0.9976470588235294
0.87,0.9976470588235294
0.88,0.9972180612026535
0.89,0.9957136733819117
0.9,0.9948519948519948
0.91,0.9946340416398369
0.92,0.9931182795698925
0.93,0.99138302455838
0.9400000000000001,0.9878945092952875
0.9500000000000001,0.9808445798868088
0.9600000000000001,0.9630121816168328
0.97,0.947841726618705
0.98,0.9083275017494752
0.99,0.8337901819087964
