schema_cols,status,rows,source_files_used,train_groups,val_groups,test_groups,threshold,val_target_metric,accuracy,precision,recall,specificity,f1,roc_auc,log_loss
84,ok,456328,264,168,43,53,0.6,0.6520092830096494,0.7202620064989893,0.607507484455362,0.5762341633901267,0.7982957907609768,0.5914577183214379,0.7811527650380476,0.7347652684830979
112,ok,32256,12,7,2,3,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008292792428084377
119,ok,46892,126,80,20,26,0.18000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00026446148835579646
