fpr,tpr,threshold
0.0,0.0,inf
0.00016194659810927348,0.4127769919849128,1.0
0.00044535314480050205,0.4162457062032734,0.99
0.0011943561610558919,0.4177611638714892,0.98
0.0011943561610558919,0.41786219438270356,0.9760550531406477
0.0022874956982934878,0.41914191419141916,0.97
0.003299661936476447,0.42018589614063445,0.96
0.00447377477276868,0.4218360611571361,0.95
0.004494018097532339,0.4218360611571361,0.9470355366666732
0.0060325107795704365,0.4233851956624234,0.94
0.006072997429097755,0.4233851956624234,0.9303948854110635
0.007692463410190489,0.4249680070047821,0.93
0.007732950059717808,0.4249680070047821,0.9239130270842892
0.009797769185611045,0.427291708762713,0.92
0.011963804935322578,0.42924496531285783,0.91
0.011963804935322578,0.4292786421499293,0.9076763789342474
0.011984048260086236,0.4292786421499293,0.9045462069155772
0.014534707180307294,0.4321074964639321,0.9
0.014554950505070953,0.4321074964639321,0.890791743085891
0.01755096257009251,0.4349700276150064,0.89
0.01757120589485617,0.4349700276150064,0.8871863308541166
0.01757120589485617,0.43500370445207787,0.8845589253789038
0.01759144921961983,0.43500370445207787,0.8839261761164502
0.020931597805623595,0.4374621135582946,0.88
0.020931597805623595,0.43749579039536607,0.876333287633549
0.02404906981922711,0.4400215531757257,0.87
0.02408955646875443,0.4400215531757257,0.8646500682939856
0.026984351909957693,0.4429851148380144,0.86
0.02700459523472135,0.4429851148380144,0.8562282376442921
0.02998036397497925,0.4462180911968748,0.85
0.03315856596287374,0.4488112076513774,0.84
0.03315856596287374,0.4489122381625918,0.8340088007507371
0.03643798457458653,0.4519768303360948,0.83
0.03647847122411385,0.4519768303360948,0.826243125181748
0.039838863134881275,0.4555465750656698,0.82
0.03985910645964493,0.4555465750656698,0.8162515330054493
0.03985910645964493,0.4555802519027413,0.8162282376442921
0.03987934978440859,0.4555802519027413,0.8135690241362776
0.04267292860179356,0.4589479356098875,0.81
0.042733658576084535,0.4589479356098875,0.8052516139502771
0.042733658576084535,0.458981612446959,0.8007651640856515
0.046276240409724896,0.46238297299117664,0.8
0.04629648373448855,0.46238297299117664,0.7962495732871431
0.04629648373448855,0.46241664982824815,0.7936743951498114
0.04631672705925221,0.46241664982824815,0.793088096407084
0.04961638899572866,0.46534653465346537,0.79
0.04965687564525598,0.46534653465346537,0.7869463887467135
