schema_cols,status,rows,source_files_used,train_groups,val_groups,test_groups,threshold,val_target_metric,accuracy,precision,recall,specificity,f1,roc_auc,log_loss
84,ok,456328,264,168,43,53,0.44,0.6441936199269315,0.5679707289614411,0.4431883744410789,0.894895878840833,0.39084382026904413,0.5927989195967781,0.7539003602041121,0.48719053299083803
112,ok,32256,12,7,2,3,0.16,1.0,0.9998611111111111,1.0,0.9998485536877177,1.0,0.9999242711094283,0.9999984779265096,0.0026584928057671172
119,ok,46892,126,80,20,26,0.91,0.9996925914540424,0.9989489173849064,0.9997196916608269,0.9988797087242683,0.999157184997893,0.9992995236760998,0.9999972264175115,0.0019804542643881793
